rank,login,name,github_url,account_type,sector,location,verified,followers,followers_30d_ago_estimate,followers_delta_30d,followers_growth_rate_30d,public_repos,public_repos_30d_ago_estimate,public_repos_delta_30d,total_stargazers,total_stargazers_30d_ago_estimate,total_stargazers_delta_30d,score,score_followers_growth,score_repositories_growth,score_stars_growth,snapshot_date
1,singularityos-lab,Singularity OS,https://github.com/singularityos-lab,Organization,N/D,Italy,False,179,161.0,18.0,0.111801,37,18.0,19.0,178,82.0,96.0,68.0605,28.8,30.0,9.2605,2026-06-04
2,virgili0,Virgilio Data Science,https://github.com/virgili0,Organization,N/D,Italy,False,114,96.0,18.0,0.1875,1,1.0,0.0,14584,14339.0,245.0,52.4334,28.8,0.0,23.6334,2026-06-04
3,DevExpPlatform,Developer Experience Platform for Eng Group,https://github.com/DevExpPlatform,Organization,N/D,Italy,False,509,484.0,25.0,0.051653,6,6.0,0.0,1,1.0,0.0,40.0,40.0,0.0,0.0,2026-06-04
4,OpenIPC,OpenIPC,https://github.com/OpenIPC,Organization,N/D,Italy,False,2236,2219.0,17.0,0.007661,137,133.0,4.0,5884,5846.0,38.0,37.1814,27.2,6.3158,3.6656,2026-06-04
5,refactoringhq,Refactoring,https://github.com/refactoringhq,Organization,N/D,Italy,False,128,124.0,4.0,0.032258,4,4.0,0.0,11873,11562.0,311.0,36.4,6.4,0.0,30.0,2026-06-04
6,iit-DLSLab,"DLS Lab at Istituto Italiano di Tecnologia, Italy",https://github.com/iit-DLSLab,Organization,N/D,"Genova, Italy",False,203,191.0,12.0,0.062827,61,61.0,0.0,1524,1470.0,54.0,24.409,19.2,0.0,5.209,2026-06-04
7,italia,Developers Italia,https://github.com/italia,Organization,PA,Italy,True,1867,1854.0,13.0,0.007012,427,426.0,1.0,6681,6670.0,11.0,23.44,20.8,1.5789,1.0611,2026-06-04
8,ZapprTV,Zappr,https://github.com/ZapprTV,Organization,N/D,Italy,False,101,89.0,12.0,0.134831,13,13.0,0.0,98,113.0,0.0,19.2,19.2,0.0,0.0,2026-06-04
9,ondata,onData,https://github.com/ondata,Organization,N/D,Italy,False,123,118.0,5.0,0.042373,138,137.0,1.0,754,726.0,28.0,12.2799,8.0,1.5789,2.701,2026-06-04
10,NyarchLinux,Nyarch Linux,https://github.com/NyarchLinux,Organization,N/D,Italy,False,654,648.0,6.0,0.009259,33,33.0,0.0,1692,1685.0,7.0,10.2752,9.6,0.0,0.6752,2026-06-04
11,teamdigitale,Team Digitale,https://github.com/teamdigitale,Organization,PA,"Rome, Italy",True,144,142.0,2.0,0.014085,153,150.0,3.0,332,328.0,4.0,8.3227,3.2,4.7368,0.3859,2026-06-04
12,pagopa,PagoPA S.p.A.,https://github.com/pagopa,Organization,PMI,Italy,True,316,315.0,1.0,0.003175,759,755.0,4.0,1666,1662.0,4.0,8.3016,1.6,6.3158,0.3859,2026-06-04
13,openapi,Openapi®,https://github.com/openapi,Organization,N/D,Home of 🍕,False,60,56.0,4.0,0.071429,18,17.0,1.0,202,199.0,3.0,8.2683,6.4,1.5789,0.2894,2026-06-04
14,italia-opensource,Italia Open-Source,https://github.com/italia-opensource,Organization,N/D,Italy,False,105,100.0,5.0,0.05,4,4.0,0.0,346,345.0,1.0,8.0965,8.0,0.0,0.0965,2026-06-04
15,Tiledesk,Tiledesk,https://github.com/Tiledesk,Organization,N/D,Italy,False,422,418.0,4.0,0.009569,41,41.0,0.0,1627,1615.0,12.0,7.5576,6.4,0.0,1.1576,2026-06-04
16,volumio,Volumio Srl,https://github.com/volumio,User,N/D,Firenze - Italia,False,1061,1058.0,3.0,0.002836,135,134.0,1.0,2375,2370.0,5.0,6.8613,4.8,1.5789,0.4823,2026-06-04
17,un-fao,Food and Agriculture Organization of the United Nations (FAO),https://github.com/un-fao,Organization,N/D,Italy,False,118,114.0,4.0,0.035088,33,33.0,0.0,39,36.0,3.0,6.6894,6.4,0.0,0.2894,2026-06-04
18,agentvoiceresponse,Agent Voice Response,https://github.com/agentvoiceresponse,Organization,N/D,Italy,False,204,201.0,3.0,0.014925,44,43.0,1.0,189,188.0,1.0,6.4754,4.8,1.5789,0.0965,2026-06-04
19,noi-techpark,NOI Techpark - Südtirol / Alto Adige,https://github.com/noi-techpark,Organization,N/D,"Italy, South Tyrol, 39100 Bolzano/Bozen, Volta street 13/A",False,67,65.0,2.0,0.030769,256,254.0,2.0,207,206.0,1.0,6.4544,3.2,3.1579,0.0965,2026-06-04
20,neuron-core,Neuron,https://github.com/neuron-core,Organization,N/D,Italy,False,80,78.0,2.0,0.025641,16,16.0,0.0,2268,2243.0,25.0,5.6116,3.2,0.0,2.4116,2026-06-04
