rank,login,name,github_url,account_type,sector,location,verified,followers,followers_30d_ago_estimate,followers_delta_30d,followers_growth_rate_30d,public_repos,public_repos_30d_ago_estimate,public_repos_delta_30d,total_stargazers,total_stargazers_30d_ago_estimate,total_stargazers_delta_30d,score,score_followers_growth,score_repositories_growth,score_stars_growth,snapshot_date
1,italia,Developers Italia,https://github.com/italia,Organization,PA,Italy,True,1858,1854.0,4.0,0.002157,427,426.0,1.0,6671,6670.0,1.0,55.7143,40.0,15.0,0.7143,2026-05-26
2,iit-DLSLab,"DLS Lab at Istituto Italiano di Tecnologia, Italy",https://github.com/iit-DLSLab,Organization,N/D,"Genova, Italy",False,195,191.0,4.0,0.020942,61,61.0,0.0,1472,1470.0,2.0,41.4286,40.0,0.0,1.4286,2026-05-26
3,DevExpPlatform,Developer Experience Platform for Eng Group,https://github.com/DevExpPlatform,Organization,N/D,Italy,False,488,484.0,4.0,0.008264,6,6.0,0.0,1,1.0,0.0,40.0,40.0,0.0,0.0,2026-05-26
4,refactoringhq,Refactoring,https://github.com/refactoringhq,Organization,N/D,Italy,False,125,124.0,1.0,0.008065,4,4.0,0.0,11604,11562.0,42.0,40.0,10.0,0.0,30.0,2026-05-26
5,italia-opensource,Italia Open-Source,https://github.com/italia-opensource,Organization,N/D,Italy,False,104,100.0,4.0,0.04,4,4.0,0.0,345,345.0,0.0,40.0,40.0,0.0,0.0,2026-05-26
6,OpenIPC,OpenIPC,https://github.com/OpenIPC,Organization,N/D,Italy,False,2219,2219.0,0.0,0.0,135,133.0,2.0,5850,5846.0,4.0,32.8571,0.0,30.0,2.8571,2026-05-26
7,polito,Politecnico di Torino,https://github.com/polito,Organization,N/D,Italy,False,230,228.0,2.0,0.008772,8,8.0,0.0,220,219.0,1.0,20.7143,20.0,0.0,0.7143,2026-05-26
8,noi-techpark,NOI Techpark - Südtirol / Alto Adige,https://github.com/noi-techpark,Organization,N/D,"Italy, South Tyrol, 39100 Bolzano/Bozen, Volta street 13/A",False,65,65.0,0.0,0.0,255,254.0,1.0,206,206.0,0.0,15.0,0.0,15.0,0.0,2026-05-26
9,robotology,Robotology,https://github.com/robotology,Organization,N/D,Italy,False,325,324.0,1.0,0.003086,147,147.0,0.0,2688,2685.0,3.0,12.1429,10.0,0.0,2.1429,2026-05-26
10,Tiledesk,Tiledesk,https://github.com/Tiledesk,Organization,N/D,Italy,False,419,418.0,1.0,0.002392,41,41.0,0.0,1616,1615.0,1.0,10.7143,10.0,0.0,0.7143,2026-05-26
11,openapi,Openapi®,https://github.com/openapi,Organization,N/D,Home of 🍕,False,57,56.0,1.0,0.017857,17,17.0,0.0,200,199.0,1.0,10.7143,10.0,0.0,0.7143,2026-05-26
12,AlmavivA,AlmavivA S.p.A.,https://github.com/AlmavivA,Organization,N/D,"Rome, Italy",False,204,203.0,1.0,0.004926,15,15.0,0.0,2,2.0,0.0,10.0,10.0,0.0,0.0,2026-05-26
13,singularityos-lab,Singularity OS,https://github.com/singularityos-lab,Organization,N/D,Italy,False,162,161.0,1.0,0.006211,18,18.0,0.0,82,82.0,0.0,10.0,10.0,0.0,0.0,2026-05-26
14,cyberpandino,Cyberpandino,https://github.com/cyberpandino,Organization,N/D,Italy,False,155,154.0,1.0,0.006494,1,1.0,0.0,475,476.0,0.0,10.0,10.0,0.0,0.0,2026-05-26
